likes,sport,followers,statuses_count,text_stemmed,text_lemmatized,text_string
0,soccer,2,21,"['soccer', 'better', 'jeep', 'soccer', 'supercharg', 'warn', 'jeep', 'wrangler', 'lift', 'king']","['soccer', 'better', 'jeep', 'soccer', 'supercharger', 'warn', 'jeep', 'wrangler', 'lifted', 'king']",soccer  better  jeep  soccer  supercharger  warn  jeep  wrangler  lifted  king
0,soccer,48,33,"['help', 'support', 'east', 'boy', 'soccer']","['help', 'support', 'east', 'boy', 'soccer']",help  support  east  boy  soccer
0,soccer,86,1624,"['insult', 'deep', 'south', 'son', 'soccer', 'team', 'play', 'today', 'parent', 'team', 'antagon', 'parent', 'walk', 'away', 'jeeringli', 'said', 'redneck', 'man', 'white', 'guy', 'get', 'call', 'folk', 'redneck']","['insult', 'deep', 'south', 'son', 'soccer', 'team', 'played', 'today', 'parent', 'team', 'antagonized', 'parent', 'walked', 'away', 'jeeringly', 'said', 'redneck', 'man', 'white', 'guy', 'get', 'call', 'folk', 'redneck']",insult  deep  south  son  soccer  team  played  today  parent  team  antagonized  parent  walked  away  jeeringly  said  redneck  man  white  guy  get  call  folk  redneck
0,soccer,1906,2351,"['footbal', 'th', 'volleybal', 'canton', 'th', 'varsiti', 'swim', 'home', 'vs', 'soccer', 'home', 'vs', 'franklin', 'soccer', 'footbal', 'home', 'vs', 'tenni']","['football', 'th', 'volleyball', 'canton', 'th', 'varsity', 'swim', 'home', 'v', 'soccer', 'home', 'v', 'franklin', 'soccer', 'football', 'home', 'v', 'tennis']",football  th  volleyball  canton  th  varsity  swim  home  v  soccer  home  v  franklin  soccer  football  home  v  tennis
0,soccer,2435,12178,"['great', 'time', 'ballpark', 'favorit', 'soccer', 'mom', 'world', 'cup', 'champion', 'amp', 'phoenix', 'colleg', 'bear', 'chase', 'field']","['great', 'time', 'ballpark', 'favorite', 'soccer', 'mom', 'world', 'cup', 'champion', 'amp', 'phoenix', 'college', 'bear', 'chase', 'field']",great  time  ballpark  favorite  soccer  mom  world  cup  champion  amp  phoenix  college  bear  chase  field
0,soccer,1228,44897,"['watch', 'soccer']","['watch', 'soccer']",watch  soccer
0,soccer,1906,2351,"['golf', 'tourney', 'cc', 'ford', 'field', 'vs', 'volleybal', 'th', 'varsiti', 'soccer', 'swim', 'home', 'vs', 'garden', 'citi']","['golf', 'tourney', 'cc', 'ford', 'field', 'v', 'volleyball', 'th', 'varsity', 'soccer', 'swim', 'home', 'v', 'garden', 'city']",golf  tourney  cc  ford  field  v  volleyball  th  varsity  soccer  swim  home  v  garden  city
0,soccer,108,54151,"['favorit', 'sport', 'soccer']","['favorite', 'sport', 'soccer']",favorite  sport  soccer
0,soccer,77,2732,"['oh', 'drama', 'queen', 'soccer', 'sound', 'style']","['oh', 'drama', 'queen', 'soccer', 'sound', 'style']",oh  drama  queen  soccer  sound  style
0,soccer,53,10015,"['pothold', 'would', 'also', 'great', 'put', 'trump', 'soccer', 'ball', 'roll', 'away', 'got', 'world', 'cup', 'soccer', 'ball']","['potholder', 'would', 'also', 'great', 'put', 'trump', 'soccer', 'ball', 'roll', 'away', 'got', 'world', 'cup', 'soccer', 'ball']",potholder  would  also  great  put  trump  soccer  ball  roll  away  got  world  cup  soccer  ball
7,soccer,1659,13678,"['start', 'xi', 'governor', 'martin', 'bro', 'soccer', 'field', 'kickoff']","['starting', 'xi', 'governor', 'martin', 'bros', 'soccer', 'field', 'kickoff']",starting  xi  governor  martin  bros  soccer  field  kickoff
